time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
0.1,19,-3329.82,-3329.82,0.000114801
0.1,19.1,-3329.84,-3329.84,0.000115933
0.1,19.2,-3329.87,-3329.87,0.000117068
0.1,19.3,-3329.89,-3329.89,0.000118209
0.1,19.4,-3329.91,-3329.91,0.000119353
0.1,19.5,-3329.94,-3329.94,0.000120502
0.1,19.6,-3329.96,-3329.96,0.000121656
0.1,19.7,-3329.98,-3329.98,0.000122814
0.1,19.8,-3330.01,-3330.01,0.000123976
0.1,19.9,-3330.03,-3330.03,0.000125142
0.1,20,-3330.06,-3330.06,0.000126313
0.1,20.1,-3330.08,-3330.08,0.000127488
0.1,20.2,-3330.1,-3330.1,0.000128667
0.1,20.3,-3330.13,-3330.13,0.00012985
0.1,20.4,-3330.15,-3330.15,0.000131038
0.1,20.5,-3330.18,-3330.18,0.000132229
0.1,20.6,-3330.2,-3330.2,0.000133425
0.1,20.7,-3330.23,-3330.23,0.000134625
0.1,20.8,-3330.25,-3330.25,0.000135829
0.1,20.9,-3330.28,-3330.28,0.000137037
0.1,21,-3330.3,-3330.3,0.00013825
0.1,21.1,-3330.32,-3330.32,0.000139466
0.1,21.2,-3330.35,-3330.35,0.000140686
0.1,21.3,-3330.37,-3330.37,0.00014191
0.1,21.4,-3330.4,-3330.4,0.000143139
0.1,21.5,-3330.42,-3330.42,0.000144371
0.1,21.6,-3330.45,-3330.45,0.000145607
0.1,21.7,-3330.48,-3330.48,0.000146847
0.1,21.8,-3330.5,-3330.5,0.000148091
0.1,21.9,-3330.53,-3330.53,0.000149339
0.1,22,-3330.55,-3330.55,0.00015059
0.1,22.1,-3330.58,-3330.58,0.000151846
0.1,22.2,-3330.6,-3330.6,0.000153105
0.1,22.3,-3330.63,-3330.63,0.000154368
0.1,22.4,-3330.65,-3330.65,0.000155635
0.1,22.5,-3330.68,-3330.68,0.000156906
